Id,AccountId,City,State,Country,StageName,Applicant_Type__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Largest_income_source_day_of_week__c,Frequency_for_largest_income_source__c,Total_monthly_income_ongoin_Reg_231__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,agency_collection_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Income_source_is_other_income_549__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Loan_Amount__c,Total_Repayment_Amount__c,Total_Repayments__c,Term_in_Weeks__c,Payment_Frequency__c,Applicant_Age__c,Summary_Income_CV__c,Amount_Requested__c,Employment_Status__c,Dishonours_203__c,DP_Insolvency_Indicator__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_For_Last_30_Days_DP907__c,Salary_Gov_Allowances_all_types_2117__c,DP_Monthly_avg_of_SACC_repayments__c,DP_Avg_Monthly_Loan_Liability_269__c,Repayment_Amount__c,Opportunity_Origin__c,Current_Balance__c,Opp_Number__c,loan_dishonours__c,Bank_Report_Gov_Benefit__c,Purpose_of_Loan__c,DE_Results,DP_Total_Monthly_Benefit_Income__c,Total_monthly_credits__c,Summary_Income_BS__c
0062x00000Ec3ilAAB,0012x00000TuXrWAAV,Port Macquarie,NSW,Australia,Closed Lost,Existing Client-No Loan Granted Ever,0.46,64.54,564.122,2.0,0.0,0.0,2.0,2.0,5405.9963,0.0,12.0,0.0,870.5516,968.58,1.0,1.04,0.0,0.0,4354.67,899.0,1040.0,2050,2785.97,15.0,28.714,Fortnightly,45.0,5411.0,2100.0,Part-Time Employment,0.0,0.0,0.2088,0.0,2964.1633,0.0,559.7533,185.74,MoneySpot,,6327596,0.0,False,Living Expenses,Orange,27.0,5749.0,5411.0
0062x00000DFSBhAAP,0012x00000bmk9iAAA,Albion Park,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,22.41,429.1457,1.0,0.0,0.0,3.0,1.0,5222.4713,5.0,0.0,145.92,974.425,1022.0,0.0,1.15,0.0,0.0,900.0,400.0,1000.0,2050,2629.76,16.0,16.571,Weekly,28.0,5222.47,2050.0,Full-Time Employment,5.0,0.0,0.3407,0.0,4547.3166,799.0,798.5,165.86,MoneySpot,0.0,4669272,3.0,False,Living Expenses,Green,0.0,8706.0,5222.47
0062x00000EdBYxAAN,0012x00000OxtKiAAJ,GORDONVALE,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,69.28,3922.7739,1.0,0.0,0.0,3.0,1.0,4242.2124,3.0,38.0,0.0,864.29,864.29,0.0,43.83,0.0,0.0,3429.52,599.0,600.0,2050,2636.1,16.0,15.857,Weekly,46.0,7959.79,2050.0,Full-Time Employment,3.0,0.0,0.033,3.0,1440.4833,393.0,4599.6633,164.76,MoneySpot,0.0,6403925,3.0,False,Vehicle Expenses,Green,0.0,5218.0,7959.79
0062x00000DHhWMAA1,0010K00002BTznJQAT,Minchinbury,NSW,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,74.65,730.816,1.0,0.0,0.0,3.0,1.0,9042.7536,1.0,36.0,201.0107,1298.6238,1377.89,1.0,0.0,0.0,0.0,5633.33,400.0,2500.0,2050,2647.69,17.0,16.857,Weekly,57.0,11215.37,10200.0,Full-Time Employment,1.0,0.0,0.0659,0.0,7794.0366,200.0,729.4566,155.75,MoneySpot,,4791994,0.0,False,Living Expenses,Green,0.0,9181.0,11215.37
0062x00000EDD1aAAH,0010K00001yojh3QAA,Noorong,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,42.41,436.695,1.0,0.0,0.0,2.0,1.0,7487.0753,0.0,27.0,291.3917,1560.3076,1832.96,1.0,28.64,0.0,0.0,3588.0,599.0,240.0,2050,2646.68,16.0,16.286,Weekly,48.0,7492.08,2450.0,Full-Time Employment,0.0,0.0,0.0769,0.0,6761.3333,329.0,474.3633,165.42,QuickCash,0.0,5928699,0.0,False,Medical Expenses,Green,0.0,7469.0,7492.08
0062x00000DHi36AAD,0012x00000dBMeSAAW,Redbank Plains,QLD,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,66.46,3031.1621,1.0,0.0,0.0,3.0,1.0,12199.5779,2.0,56.0,194.28,1915.3142,2407.73,0.0,24.93,0.0,0.0,5200.0,599.0,300.0,2050,2636.1,16.0,15.857,Weekly,27.0,13195.91,5000.0,Full-Time Employment,2.0,0.0,0.0,1.0,8938.1333,400.0,2774.6333,164.76,QuickCash,0.0,4792350,1.0,False,Living Expenses,Green,0.0,14274.0,13195.91
0062x00000E4zOBAAZ,0012x00000GbXYGAA3,Warrnambool,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,79.8,1835.9338,4.0,0.0,0.0,3.0,4.0,3169.46,0.0,31.0,301.125,1584.73,1827.06,1.0,0.5,0.0,0.0,4428.67,1499.0,1360.0,2050,2628.07,8.0,15.0,Fortnightly,31.0,3179.46,2900.0,Full-Time Employment,0.0,0.0,0.0,0.0,3169.46,877.0,2219.65,328.51,MoneySpot,0.0,5615005,0.0,False,Relocation Expenses,Green,0.0,3983.0,3179.46
0062x00000ELWhjAAH,0010K00001hVYDtQAO,Leumeah,NSW,Australia,Loan Paid,Existing Client-Granted Loan Before,0.0,70.75,2078.638,1.0,0.0,0.0,2.0,1.0,7731.156,2.0,90.0,0.0,1146.8035,788.07,0.0,35.33,0.0,0.0,3466.67,899.0,200.0,2050,2632.82,16.0,15.714,Weekly,29.0,8367.82,2050.0,Full-Time Employment,2.0,0.0,0.6374,0.0,5351.75,476.0,3024.77,164.56,QuickCash,-0.35,6039001,1.0,False,Medical Expenses,Green,0.0,8468.0,8367.82
0062x00000DsNFqAAN,0012x000008KYXQAA4,Clayton,VIC,Australia,Closed Lost,Existing Client-Granted Loan Before,0.0,61.91,293.3018,4.0,0.0,0.0,5.0,4.0,421.1666,0.0,25.0,479.268,72.0714,320.0,0.0,0.58,0.0,1.0,0.0,400.0,600.0,2050,2622.85,16.0,16.286,Weekly,31.0,4314.7,2050.0,,0.0,0.0,0.0,0.0,0.0,703.0,3162.5966,163.93,MoneySpot,,5236587,0.0,False,Vehicle Expenses,Orange,0.0,5696.0,4314.7
0062x00000DZos2AAD,0010K00001wGklmQAC,Traralgon,VIC,Australia,Loan Paid,Existing Client-Granted Loan Before,1.01,51.38,917.2387,2.0,0.0,0.0,3.0,2.0,3600.2317,1.0,11.0,1127.9989,1645.4314,1775.07,1.0,0.19,0.0,0.0,2600.0,899.0,400.0,2050,2645.04,8.0,15.714,Fortnightly,35.0,3600.23,2050.0,Full-Time Employment,1.0,0.0,0.1099,1.0,3839.34,1861.0,2295.88,330.63,MoneySpot,0.0,5116016,0.0,False,Living Expenses,Green,53.0,5247.0,3600.23
