id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c,Salary_Gov_Allowances_all_types_2117__c,Dishonours_For_Last_30_Days_DP907__c,DP_Days_in_Overdrawn_For_Period__c,Dishonours_203__c
0062x00000EcUmCAAV,Closed Lost,Financier-2,,,Existing Client-Granted Loan Before,6360602,20.98,73.98,50.66,250,295.4735,4,29-08-2023,0,2,18-08-2023,5,01-09-2023,2,18-08-2023,0,1538.6118,0,2035.9451,1416,0,11,0,0,0,152.0833,708.1833,705.4,29,7.95,1914,0,0,0,0,0,0,29,0,1,1,0,400,100,-500,500,600,2880.14,0,0.5275,0
0062x00000EcYH7AAN,Closed Lost,MoneySpot,,,Existing Client-No Loan Granted Ever,6363396,43.17,65.02,98.81,244,598.0531,1,21-08-2023,2,4,15-08-2023,2,,4,15-08-2023,13,1398.83,0,4509.528,3228,6,6,0,1.57,0,265.3709,524.5612,362.46,13,5.35,4964,0,0,0,0,0.44,0,5,0,1,1,1291.33,400,1000,-108.67,500,600,3417.2166,11,0.9231,12
0062x000009SYMnAAO,Closed Lost,QuickCash,,,New Client-New Loan,2126537,4.52,52.62,42.33,0,114.44,4,13-08-2021,0,1,13-08-2021,5,20-08-2021,1,13-08-2021,0,2529.3982,0,7415.4948,5253,0,0,0,0,0,0,498.95,131.9,21,0,9982,0,0,0,0,0,0,21,0,1,,0,899,0,-899,500,600,1368.16,0,0,0
0062x000009SYQzAAO,Closed Lost,Financier-2,,,Existing Client-No Loan Granted Ever,2126581,12.9,97.6,84.8,208,285.3074,0,,1,2,10-08-2021,2,24-08-2021,2,10-08-2021,3,1616.2291,0,1616.2291,1917,3,14,0,0,0,570.7546,743.9083,688.35,0,16.03,1964,0,0,0,0,0,0,0,0,1,,1473.33,400,400,673.33,500,600,0,4,0,7
0062x000009SZfRAAW,Closed Lost,QuickCash,,,New Client-New Loan,2127252,0,0,57.05,0,0,0,,0,0,,0,,0,,0,0,0,4625.4366,0,0,0,0,0,0,0,0,0,0,0,6824,0,0,0,0,0,0,0,0,0,,0,899,900,-1799,500,600,1778.9233,0,0,0
0062x000009Se1PAAS,Closed Lost,Financier-2,,,Existing Client-No Loan Granted Ever,2129048,0,95.14,92.86,0,0,0,,0,2,04-08-2021,1,18-08-2021,2,04-08-2021,0,1312.986,0,2461.6226,3629,1,7,0,9.52,0,0,604.3333,500,0,0,3814,0,0,0,0,3.28,0,0,0,1,,0,2000,1000,-3000,500,600,5128.41,4,0.3077,12
0062x00000EcXUAAA3,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,6362697,3.75,67.55,99,76,64.7418,4,29-08-2023,2,2,16-08-2023,3,30-08-2023,2,16-08-2023,8,2031.3253,0,4291.2917,3001,16,8,0,0,0,0,934.9666,929.4,2,1.46,4442,0,0,0,0,0,0,2,0,1,1,0,400,0,-400,500,620,1527.3066,0,0,0
0062x00000DZRMFAA5,Closed Lost,MoneySpot,PARTIALLY COMPLIANT,,New Client-New Loan,5093240,20.41,4.31,92.76,0,596.2066,2,05-04-2023,0,0,05-04-2023,3,19-04-2023,2,,0,0,0,3154.2944,138,0,0,0,0,0,0,1344.4433,1359.61,6,0,3198,0,0,0,0,0,0,6,0,0,0,0,0,200,-200,500,620,2996.17,0,0.011,0
0062x00000EcZ7WAAV,Closed Lost,QuickCash,,,Existing Client-No Loan Granted Ever,6363841,0.01,30.26,92.88,0,0,4,30-08-2023,0,4,30-08-2023,3,,4,25-08-2023,0,1429.3533,0,5881.3805,1820,0,0,0,0,0,0,68.3317,107,140,0,6014,0,0,0,0,0,0,140,1,0,0,944.67,400,200,344.67,500,620,3733.4766,0,0.033,3
0062x000002am3XAAQ,Loan Paid,Financier-2,,0,Existing Client-Granted Loan Before,846281,27.87,0,52.3,1040,751.4285,2,26-02-2020,0,0,26-02-2020,3,11-03-2020,2,,0,0,0,3732.7728,0,0,47,0,0,0,769.0479,1718.0983,1690.68,6,27.09,4390,0,0,0,0,0,0,6,,0,,3683.33,400,900,2383.33,500,639.99,3418.75,0,0,0
