id,StageName,Opportunity_Origin__c,DNB_Scoring_Rate__c,Current_Balance__c,Applicant_Type__c,Opp_number__C,Multiple_Lenders_Hardship__c,income_as_a_of_DP200_income__c,Deposit_spent_on_DOD__c,DP_Monthly_avg_of_SACC_repayments__c,Monthly_ongoing_financial_commitments__c,DP_Primary_income_frequency__c,DP_Primary_income_last_pay_date__c,DP_enders_with_uncleared_dishonours_233__c,Primary_regular_benefit_frequency__c,Last_pay_date_for_largest_inc_src_302__c,Largest_income_source_day_of_week__c,Next_pay_date_for_largest_income_source__c,Frequency_for_largest_income_source__c,Primary_regular_benefit_last_pay_date__c,loan_dishonours__c,Primary_regular_benefit_monthly_amount__c,Courts_and_Fines_transactions__c,Total_monthly_income_ongoin_Reg_231__c,DP_Total_Monthly_Benefit_Income__c,DP_Dishonours_Across_Primary_Acct_244__c,DP_No_Direct_Debits_On_Primary_Acct_355__c,DP_Budget_Management_Services__c,Hardship_Indicator_Gambling__c,DP_Monthly_rent_amount_236__c,Amount_of_SACC_commitments_due__c,Largest_income_Src_Avg_freq__c,Largest_income_Src_last_payment_amt__c,Deposits_since_last_SACC_dishonour__c,SACC_commitments_due_next_month__c,Total_monthly_credits__c,agency_collection_providers__c,Collection_agency_transactions__c,Average_monthly_amount_of_Courts_and_Fin__c,Courts_and_Fines_providers__c,income_DP200_spend_on_high_risk_merch__c,most_recent_loan_has_no_repayments__c,Deposits_since_last_dishonour__c,Income_source_is_other_income_549__c,Bank_Report_Gov_Benefit__c,Income_source_is_a_government_benefit__c,Summary_Income__c,Summary_Expenses__c,Rent_Mortgage__c,Summary_Total__c,Loan_Amount__c,Total_Repayment_Amount__c
0062x00000E5P7JAAV,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,5652069,0,0.14,93.3,801,1733.75,0,,1,0,,0,,0,,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9213,0,0,0,0,0,0,0,0,0,0,5633.33,400,400,4833.33,2500,3150.39
0062x00000E5P7JAAV,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,5652069,0,0.14,93.3,801,1733.75,0,,1,0,,0,,0,,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9213,0,0,0,0,0,0,0,0,0,0,5633.33,400,400,4833.33,2500,3150.39
0062x00000DAMRbAAP,Debt Management,MoneySpot,,2680.92,Existing Client-Granted Loan Before,4626267,81.32,9.25,26.32,1308,937.7431,4,01/02/2023,0,0,01/02/2023,3,,4,,4,0,0,4773.5852,499,4,0,0,0,0,960,1704.8712,2058.11,8,34.51,5390,1,2,0,0,0,0,8,1,0,,3446.91,899,1400,1147.91,2500,3150.39
0062x00000EEPaVAAX,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,6012114,0,0,86.46,986,458.6432,0,,0,0,,0,,0,,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7511,1,3,0,0,1.84,0,0,0,0,0,0,599,2000,-2599,2500,3150.5
0062x00000EEPaVAAX,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,6012114,0,0,86.46,986,458.6432,0,,0,0,,0,,0,,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7511,1,3,0,0,1.84,0,0,0,0,0,0,599,2000,-2599,2500,3150.5
0062x00000BCHMAAA5,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3428316,84.2,29.46,60.04,3345,4144.5052,2,21/07/2022,0,4,21/07/2022,4,04/08/2022,2,20/07/2022,6,2553.9666,0,8165.0166,2554,6,50,0,1.6,0,2172.133,2390.4325,2260.41,4,32.67,8667,1,7,0,0,0.96,1,4,0,0,,3683.33,2000,660,1023.33,2500,3150.62
0062x00000CTeQaAAL,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3950112,30.15,21.84,39.44,1223,844.2146,2,20/10/2022,0,4,20/10/2022,4,03/11/2022,2,31/10/2022,0,1559.6033,0,5739.9619,1560,0,0,0,1.41,0,1351.2196,1924.0716,2128.31,6,16.54,7141,0,0,0,0,0.83,1,6,0,0,,4290,599,600,3091,2500,3150.62
0062x00000BCHMAAA5,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3428316,84.2,29.46,60.04,3345,4144.5052,2,21/07/2022,0,4,21/07/2022,4,04/08/2022,2,20/07/2022,6,2553.9666,0,8165.0166,2554,6,50,0,1.6,0,2172.133,2390.4325,2260.41,4,32.67,8667,1,7,0,0,0.96,1,4,0,0,,3683.33,2000,660,1023.33,2500,3150.62
0062x00000CTeQaAAL,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,3950112,30.15,21.84,39.44,1223,844.2146,2,20/10/2022,0,4,20/10/2022,4,03/11/2022,2,31/10/2022,0,1559.6033,0,5739.9619,1560,0,0,0,1.41,0,1351.2196,1924.0716,2128.31,6,16.54,7141,0,0,0,0,0.83,1,6,0,0,,4290,599,600,3091,2500,3150.62
0062x00000DVBZzAAP,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,5428289,44.58,0,24.23,1805,2996.9723,2,12/05/2023,0,0,12/05/2023,3,26/05/2023,2,,0,0,0,8464.6055,0,3,34,0,0,0,1671.376,3617.75,1061.88,6,29.79,9047,0,0,0,0,0,0,2,0,0,0,0,599,588,-1187,2500,3150.75
0062x00000DVBZzAAP,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,5428289,44.58,0,24.23,1805,2996.9723,2,12/05/2023,0,0,12/05/2023,3,26/05/2023,2,,0,0,0,8464.6055,0,3,34,0,0,0,1671.376,3617.75,1061.88,6,29.79,9047,0,0,0,0,0,0,2,0,0,0,0,599,588,-1187,2500,3150.75
0062x00000DGLCmAAP,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4718285,97.24,0,67.53,1303,3162.5935,1,15/02/2023,0,0,15/02/2023,3,22/02/2023,1,,0,0,0,8784.8135,0,0,40,0,0,0,777.1289,1201.6363,1263,11,15.03,10785,0,0,0,0,0,0,11,1,0,,8397.91,599,1900,5898.91,2500,3150.81
0062x00000DGLCmAAP,Loan Paid,MoneySpot,,0,Existing Client-Granted Loan Before,4718285,97.24,0,67.53,1303,3162.5935,1,15/02/2023,0,0,15/02/2023,3,22/02/2023,1,,0,0,0,8784.8135,0,0,40,0,0,0,777.1289,1201.6363,1263,11,15.03,10785,0,0,0,0,0,0,11,1,0,,8397.91,599,1900,5898.91,2500,3150.81
